id,click,hour,C1,C2,C3,C4,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_os,device_make,device_model,device_type,device_conn_type,device_geo_country,C20,C21,C22,C23,C24
10000222510487979663,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,ee72efa5,85262c2b,7e5068fc,d41d8cd9,22f9c6ba,c31b3236,3d517f89,3e238c9b,1,0,fc9fdf08,11999,320,50,1248,2,39,-1,13
10000335031004381249,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,7ddd1e29,85262c2b,a89b3dd2,d41d8cd9,34dfab7a,c31b3236,f3c0fa6b,a95919b4,1,0,e22428cc,12026,320,50,1248,2,39,-1,13
10000413097548171036,0,14100100,1010,1,d41d8cd9,d41d8cd9,d41d8cd9,7dd0bcc4,d41d8cd9,7e5068fc,bb0b78ad,2a247e58,c31b3236,fe546279,d41d8cd9,4,2,5343b21a,5470,320,50,394,2,303,-1,15
10000436876114817886,0,14100100,1002,0,d5589b4a,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,cfcd2084,4a64f582,c31b3236,fe546279,6ce4b74e,0,0,0b3b97fa,16723,320,50,1876,2,291,-1,33
10000488446663934007,1,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,aa55fc10,85262c2b,7e5068fc,7f5c2c0a,7679e255,c31b3236,fe546279,3706f444,1,2,75778bf8,17012,320,50,1871,3,35,100053,23
10000501900095337384,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,759472d5,2029219a,db4fcb5b,d41d8cd9,1045816b,2f3f71f2,36dfa7ba,381f267c,1,0,959848ca,14903,320,50,1622,3,175,100156,42
10000531960943040822,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,ef6e6261,85262c2b,688746e6,d7cd4bb9,dfd2350a,c31b3236,750379b5,5eaf094f,1,0,afbe94cd,16688,320,50,1873,3,35,-1,23
10000832723983198840,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,96b8c96a,4f04e5f8,7e5068fc,d41d8cd9,0734f2b6,c31b3236,3d517f89,ebc66ede,1,0,0b3b97fa,16858,320,50,1887,3,39,-1,23
10000891345123252859,0,14100100,1005,1,de28ac8c,034212b6,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,4cb2f071,c31b3236,3d517f89,d06a9553,1,0,13b5bfe9,16208,320,50,1800,3,47,-1,23
